    r        vm           vc           vm-vc        dvm-dvc
  0.0100  -5.1415E+03  -1.0000E+02  -5.0415E+03   5.2887E+05
  0.0200  -2.4523E+03  -5.0000E+01  -2.4023E+03   1.3146E+05
  0.0300  -1.5623E+03  -3.3333E+01  -1.5290E+03   5.7931E+04
  0.0400  -1.1215E+03  -2.5000E+01  -1.0965E+03   3.2239E+04
  0.0500  -8.6005E+02  -2.0000E+01  -8.4005E+02   2.0379E+04
  0.0600  -6.8797E+02  -1.6667E+01  -6.7130E+02   1.3959E+04
  0.0700  -5.6677E+02  -1.4286E+01  -5.5248E+02   1.0105E+04
  0.0800  -4.7721E+02  -1.2500E+01  -4.6471E+02   7.6166E+03
  0.0900  -4.0865E+02  -1.1111E+01  -3.9754E+02   5.9208E+03
  0.1000  -3.5468E+02  -1.0000E+01  -3.4468E+02   4.7160E+03
  0.2000  -1.2915E+02  -5.0000E+00  -1.2415E+02   9.8632E+02
  0.3000  -6.6495E+01  -3.3333E+00  -6.3162E+01   3.6809E+02
  0.4000  -4.0009E+01  -2.5000E+00  -3.7509E+01   1.7601E+02
  0.5000  -2.6374E+01  -2.0000E+00  -2.4374E+01   9.6934E+01
  0.6000  -1.8476E+01  -1.6667E+00  -1.6809E+01   5.8541E+01
  0.7000  -1.3522E+01  -1.4286E+00  -1.2093E+01   3.7737E+01
  0.8000  -1.0230E+01  -1.2500E+00  -8.9799E+00   2.5538E+01
  0.9000  -7.9451E+00  -1.1111E+00  -6.8340E+00   1.7945E+01
  1.0000  -6.3037E+00  -1.0000E+00  -5.3037E+00   1.2994E+01
  1.1000  -5.0914E+00  -9.0909E-01  -4.1823E+00   9.6414E+00
  1.6000  -2.1252E+00  -6.2500E-01  -1.5002E+00   2.7796E+00
  2.1000  -1.1091E+00  -4.7619E-01  -6.3291E-01   1.0265E+00
  2.6000  -6.7636E-01  -3.8462E-01  -2.9175E-01   4.3373E-01
  3.1000  -4.6455E-01  -3.2258E-01  -1.4197E-01   1.9880E-01
  3.6000  -3.4938E-01  -2.7778E-01  -7.1597E-02   9.6048E-02
  4.1000  -2.8092E-01  -2.4390E-01  -3.7016E-02   4.8103E-02
  4.6000  -2.3688E-01  -2.1739E-01  -1.9487E-02   2.4715E-02
  5.1000  -2.0648E-01  -1.9608E-01  -1.0401E-02   1.2940E-02
  5.6000  -1.8418E-01  -1.7857E-01  -5.6114E-03   6.8739E-03
  6.1000  -1.6699E-01  -1.6393E-01  -3.0537E-03   3.6930E-03
  7.1000  -1.4177E-01  -1.4085E-01  -9.2280E-04   1.0938E-03
  8.1000  -1.2374E-01  -1.2346E-01  -2.8467E-04   3.3239E-04
  9.1000  -1.0998E-01  -1.0989E-01  -8.9194E-05   1.0293E-04
 10.1000  -9.9038E-02  -9.9010E-02  -2.8290E-05   3.2336E-05
 11.1000  -9.0099E-02  -9.0090E-02  -9.0620E-06   1.0277E-05
 12.1000  -8.2648E-02  -8.2645E-02  -2.9265E-06   3.2972E-06
 13.1000  -7.6337E-02  -7.6336E-02  -9.5162E-07   1.0661E-06
 14.1000  -7.0922E-02  -7.0922E-02  -3.1125E-07   3.4702E-07
 15.1000  -6.6225E-02  -6.6225E-02  -1.0232E-07   1.1360E-07
 16.1000  -6.2112E-02  -6.2112E-02  -3.3783E-08   3.7368E-08
 21.1000  -4.7393E-02  -4.7393E-02  -1.3939E-10   1.5213E-10
 26.1000  -3.8314E-02  -3.8314E-02  -6.0927E-13   6.5948E-13
 31.1000  -3.2154E-02  -3.2154E-02  -2.7478E-15   2.9753E-15
 36.1000  -2.7701E-02  -2.7701E-02   0.0000E+00   1.3444E-17
 41.1000  -2.4331E-02  -2.4331E-02   0.0000E+00   1.0842E-19
 46.1000  -2.1692E-02  -2.1692E-02   0.0000E+00   0.0000E+00
 51.1000  -1.9569E-02  -1.9569E-02   0.0000E+00   5.4210E-20
 56.1000  -1.7825E-02  -1.7825E-02   0.0000E+00   0.0000E+00
 61.1000  -1.6367E-02  -1.6367E-02   0.0000E+00   0.0000E+00
 66.1000  -1.5129E-02  -1.5129E-02   0.0000E+00   0.0000E+00
