 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  0.000E+00  0.00000E+00  5.88005E-15  2.09981E+02  0.00000E+00
  1.000E-04  7.61557E-13  5.88005E-15  2.09981E+02 -6.28065E-09
  1.250E-04  1.18994E-12  5.88005E-15  2.09981E+02 -7.85082E-09
  1.500E-04  1.71346E-12  5.88005E-15  2.09981E+02 -9.42098E-09
  1.750E-04  2.33225E-12  5.88005E-15  2.09981E+02 -1.09911E-08
  2.000E-04  3.04617E-12  5.88005E-15  2.09981E+02 -1.25613E-08
  2.250E-04  3.85530E-12  5.88005E-15  2.09981E+02 -1.41315E-08
  2.500E-04  4.75964E-12  5.88005E-15  2.09981E+02 -1.57016E-08
  2.750E-04  5.75917E-12  5.88005E-15  2.09981E+02 -1.72718E-08
  3.000E-04  6.85391E-12  5.88005E-15  2.09981E+02 -1.88420E-08
  3.250E-04  8.04379E-12  5.88005E-15  2.09981E+02 -2.04121E-08
  3.500E-04  9.32893E-12  5.88005E-15  2.09981E+02 -2.19823E-08
  3.750E-04  1.07092E-11  5.88005E-15  2.09981E+02 -2.35524E-08
  4.000E-04  1.21847E-11  5.88005E-15  2.09981E+02 -2.51226E-08
  4.250E-04  1.37554E-11  5.88005E-15  2.09981E+02 -2.66928E-08
  4.500E-04  1.54213E-11  5.88005E-15  2.09981E+02 -2.82629E-08
  4.750E-04  1.71823E-11  5.88005E-15  2.09981E+02 -2.98331E-08
  5.000E-04  1.90386E-11  5.88005E-15  2.09981E+02 -3.14033E-08
  5.250E-04  2.09900E-11  5.88005E-15  2.09981E+02 -3.29734E-08
  5.500E-04  2.30367E-11  5.88005E-15  2.09981E+02 -3.45436E-08
  5.750E-04  2.51785E-11  5.88005E-15  2.09981E+02 -3.61137E-08
  6.000E-04  2.74156E-11  5.88005E-15  2.09981E+02 -3.76839E-08
  6.250E-04  2.97478E-11  5.88005E-15  2.09981E+02 -3.92541E-08
  6.500E-04  3.21752E-11  5.88005E-15  2.09981E+02 -4.08242E-08
  6.750E-04  3.46979E-11  5.88005E-15  2.09981E+02 -4.23944E-08
  7.000E-04  3.73157E-11  5.88005E-15  2.09981E+02 -4.39646E-08
  7.250E-04  4.00286E-11  5.88005E-15  2.09981E+02 -4.55347E-08
  7.500E-04  4.28368E-11  5.88005E-15  2.09980E+02 -4.71049E-08
  7.750E-04  4.57402E-11  5.88005E-15  2.09980E+02 -4.86750E-08
  8.000E-04  4.87388E-11  5.88005E-15  2.09980E+02 -5.02452E-08
  8.250E-04  5.18325E-11  5.88005E-15  2.09980E+02 -5.18154E-08
  8.500E-04  5.50215E-11  5.88005E-15  2.09980E+02 -5.33855E-08
  8.750E-04  5.83057E-11  5.88005E-15  2.09980E+02 -5.49557E-08
  9.000E-04  6.16850E-11  5.88005E-15  2.09980E+02 -5.65259E-08
  9.250E-04  6.51595E-11  5.88005E-15  2.09980E+02 -5.80960E-08
  9.500E-04  6.87293E-11  5.88005E-15  2.09980E+02 -5.96662E-08
  9.750E-04  7.23943E-11  5.88005E-15  2.09980E+02 -6.12363E-08
  1.000E-03  7.61544E-11  5.88005E-15  2.09980E+02 -6.28065E-08
  1.250E-03  1.18991E-10  5.88005E-15  2.09980E+02 -7.85081E-08
  1.500E-03  1.71347E-10  5.88005E-15  2.09980E+02 -9.42097E-08
  1.750E-03  2.33223E-10  5.88005E-15  2.09980E+02 -1.09911E-07
  2.000E-03  3.04617E-10  5.88005E-15  2.09980E+02 -1.25613E-07
  2.250E-03  3.85531E-10  5.88005E-15  2.09980E+02 -1.41314E-07
  2.500E-03  4.75965E-10  5.88005E-15  2.09980E+02 -1.57016E-07
  2.750E-03  5.75917E-10  5.88004E-15  2.09980E+02 -1.72717E-07
  3.000E-03  6.85389E-10  5.88004E-15  2.09980E+02 -1.88419E-07
  3.250E-03  8.04380E-10  5.88004E-15  2.09980E+02 -2.04120E-07
  3.500E-03  9.32891E-10  5.88004E-15  2.09980E+02 -2.19821E-07
  3.750E-03  1.07092E-09  5.88004E-15  2.09980E+02 -2.35523E-07
  4.000E-03  1.21847E-09  5.88003E-15  2.09980E+02 -2.51224E-07
  4.250E-03  1.37554E-09  5.88003E-15  2.09980E+02 -2.66925E-07
  4.500E-03  1.54213E-09  5.88003E-15  2.09980E+02 -2.82626E-07
  4.750E-03  1.71823E-09  5.88003E-15  2.09980E+02 -2.98327E-07
  5.000E-03  1.90386E-09  5.88002E-15  2.09979E+02 -3.14028E-07
  5.250E-03  2.09900E-09  5.88002E-15  2.09979E+02 -3.29729E-07
  5.500E-03  2.30367E-09  5.88002E-15  2.09979E+02 -3.45430E-07
  5.750E-03  2.51785E-09  5.88001E-15  2.09979E+02 -3.61131E-07
  6.000E-03  2.74156E-09  5.88001E-15  2.09979E+02 -3.76831E-07
  6.250E-03  2.97478E-09  5.88001E-15  2.09979E+02 -3.92532E-07
  6.500E-03  3.21752E-09  5.88000E-15  2.09979E+02 -4.08232E-07
  6.750E-03  3.46978E-09  5.88000E-15  2.09979E+02 -4.23933E-07
  7.000E-03  3.73156E-09  5.87999E-15  2.09978E+02 -4.39633E-07
  7.250E-03  4.00286E-09  5.87999E-15  2.09978E+02 -4.55334E-07
  7.500E-03  4.28368E-09  5.87998E-15  2.09978E+02 -4.71034E-07
  7.750E-03  4.57402E-09  5.87998E-15  2.09978E+02 -4.86734E-07
  8.000E-03  4.87388E-09  5.87998E-15  2.09978E+02 -5.02434E-07
  8.250E-03  5.18326E-09  5.87997E-15  2.09978E+02 -5.18134E-07
  8.500E-03  5.50215E-09  5.87997E-15  2.09977E+02 -5.33833E-07
  8.750E-03  5.83057E-09  5.87996E-15  2.09977E+02 -5.49533E-07
  9.000E-03  6.16850E-09  5.87995E-15  2.09977E+02 -5.65232E-07
  9.250E-03  6.51596E-09  5.87995E-15  2.09977E+02 -5.80932E-07
  9.500E-03  6.87293E-09  5.87994E-15  2.09977E+02 -5.96631E-07
  9.750E-03  7.23942E-09  5.87994E-15  2.09976E+02 -6.12330E-07
