

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+03 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
  --------------------------------------------------------------------------
       0      1.10358116E+00  5.02876E-02      0.00000000E+00  0.00000E+00
       1     -1.01265982E+00  5.09044E-02     -7.10780054E-01  5.08937E-02
       2      6.06656182E-02  5.26625E-02      1.35748787E-01  5.25854E-02
       3      1.13932536E+00  5.50320E-02      1.16448910E+00  5.49413E-02
       4     -5.72028194E-01  5.72089E-02     -5.64815519E-01  5.72176E-02
       5     -1.53303051E+00  6.75307E-02     -1.53079419E+00  6.75115E-02
       6      1.10275724E+00  7.10094E-02      1.10378711E+00  7.10211E-02
       7      7.93479449E-01  6.67028E-02      7.94073356E-01  6.67208E-02
       8      5.87796213E-01  6.04237E-02      5.88176111E-01  6.04408E-02
       9      4.45422521E-01  5.39313E-02      4.45679226E-01  5.39465E-02
      10      3.44288155E-01  4.77442E-02      3.44468102E-01  4.77574E-02
      11      2.70852846E-01  4.20986E-02      2.70982699E-01  4.21101E-02
      12      2.16429862E-01  3.71013E-02      2.16525897E-01  3.71111E-02
      13      1.75331433E-01  3.27354E-02      1.75403978E-01  3.27437E-02
      14      1.43761339E-01  2.89718E-02      1.43817150E-01  2.89790E-02
      15      1.19140478E-01  2.56983E-02      1.19184096E-01  2.57044E-02
      16      9.96833572E-02  2.28572E-02      9.97179109E-02  2.28625E-02
      17      8.41256879E-02  2.03860E-02      8.41533839E-02  2.03906E-02
      18      7.15588646E-02  1.82009E-02      7.15812901E-02  1.82050E-02
      19      6.13163995E-02  1.62843E-02      6.13347213E-02  1.62879E-02
      20      5.29003566E-02  1.45878E-02      5.29154450E-02  1.45910E-02
      21      4.59355991E-02  1.30568E-02      4.59481128E-02  1.30596E-02
      22      4.01342005E-02  1.16946E-02      4.01446468E-02  1.16972E-02
      23      3.52719729E-02  1.04786E-02      3.52807460E-02  1.04809E-02
      24      3.11740481E-02  9.36323E-03      3.11814567E-02  9.36532E-03
      25      2.77022766E-02  8.34950E-03      2.77085660E-02  8.35138E-03
      26      2.47457745E-02  7.44380E-03      2.47511413E-02  7.44550E-03
      27      2.22155788E-02  6.61599E-03      2.22201805E-02  6.61756E-03
      28      2.00401695E-02  5.84434E-03      2.00441335E-02  5.84579E-03
      29      1.81612638E-02  5.14084E-03      1.81646944E-02  5.14214E-03
      30      1.65308947E-02  4.51478E-03      1.65338775E-02  4.51595E-03
      31      1.51097149E-02  3.94955E-03      1.51123201E-02  3.95062E-03
      32      1.38654107E-02  3.42287E-03      1.38676960E-02  3.42387E-03
      33      1.27712822E-02  2.92917E-03      1.27732956E-02  2.93010E-03
      34      1.18050295E-02  2.47726E-03      1.18068111E-02  2.47809E-03
      35      1.09480222E-02  2.07657E-03      1.09496055E-02  2.07730E-03
      36      1.01846351E-02  1.72986E-03      1.01860481E-02  1.73048E-03
      37      9.50180408E-03  1.43439E-03      9.50307042E-03  1.43492E-03
      38      8.88851176E-03  1.18534E-03      8.88965123E-03  1.18579E-03
      39      8.33549631E-03  9.77549E-04      8.33652566E-03  9.77920E-04
      40      7.83488504E-03  8.05806E-04      7.83581847E-03  8.06111E-04
      41      7.38003069E-03  6.64853E-04      7.38088025E-03  6.65104E-04
      42      6.96524351E-03  5.49582E-04      6.96601948E-03  5.49787E-04
      43      6.58570098E-03  4.55338E-04      6.58641215E-03  4.55505E-04
      44      6.23724606E-03  3.78126E-04      6.23789993E-03  3.78264E-04
      45      5.91634092E-03  3.14665E-04      5.91694395E-03  3.14778E-04
      46      5.61991523E-03  2.62323E-04      5.62047300E-03  2.62416E-04
      47      5.34534346E-03  2.19012E-04      5.34586076E-03  2.19090E-04
      48      5.09033348E-03  1.83075E-04      5.09081448E-03  1.83139E-04
      49      4.85291242E-03  1.53185E-04      4.85336075E-03  1.53239E-04
      50      4.63135059E-03  1.28276E-04      4.63176940E-03  1.28320E-04
      51      4.42414529E-03  1.07485E-04      4.42453734E-03  1.07522E-04
      52      4.22997700E-03  9.01100E-05      4.23034471E-03  9.01412E-05
      53      4.04768412E-03  7.55754E-05      4.04802962E-03  7.56015E-05
      54      3.87624905E-03  6.34058E-05      3.87657422E-03  6.34277E-05
      55      3.71475972E-03  5.32084E-05      3.71506624E-03  5.32267E-05
      56      3.56242278E-03  4.46586E-05      3.56271213E-03  4.46740E-05
      57      3.41851058E-03  3.74877E-05      3.41878408E-03  3.75005E-05
      58      3.28239766E-03  3.14722E-05      3.28265650E-03  3.14830E-05
      59      3.15349452E-03  2.64253E-05      3.15373976E-03  2.64344E-05
      60      3.03130214E-03  2.21905E-05      3.03153475E-03  2.21981E-05
      61      2.91533643E-03  1.86360E-05      2.91555727E-03  1.86424E-05
      62      2.80519382E-03  1.56516E-05      2.80540367E-03  1.56569E-05
      63      2.70047251E-03  1.31451E-05      2.70067210E-03  1.31496E-05
      64      2.60084084E-03  1.10394E-05      2.60103082E-03  1.10431E-05
      65      2.50596313E-03  9.27012E-06      2.50614409E-03  9.27330E-06
      66      2.41556153E-03  7.78353E-06      2.41573402E-03  7.78620E-06
      67      2.32935492E-03  6.53445E-06      2.32951945E-03  6.53670E-06
      68      2.24710551E-03  5.48502E-06      2.24726253E-03  5.48690E-06
      69      2.16857822E-03  4.60345E-06      2.16872818E-03  4.60504E-06
      70      2.09356497E-03  3.86300E-06      2.09370825E-03  3.86433E-06
      71      2.02187006E-03  3.24115E-06      2.02200704E-03  3.24226E-06
      72      1.95330763E-03  2.71900E-06      1.95343866E-03  2.71994E-06
      73      1.88771567E-03  2.28065E-06      1.88784105E-03  2.28144E-06
      74      1.82492568E-03  1.91268E-06      1.82504572E-03  1.91334E-06
      75      1.76480371E-03  1.60383E-06      1.76491869E-03  1.60439E-06
      76      1.70719618E-03  1.34469E-06      1.70730636E-03  1.34516E-06
      77      1.65199145E-03  1.12726E-06      1.65209707E-03  1.12765E-06
      78      1.59905026E-03  9.44840E-07      1.59915155E-03  9.45167E-07
      79      1.54827741E-03  7.91839E-07      1.54837459E-03  7.92114E-07
      80      1.49954865E-03  6.63541E-07      1.49964192E-03  6.63771E-07
      81      1.45277960E-03  5.55942E-07      1.45286914E-03  5.56136E-07
      82      1.40786222E-03  4.65719E-07      1.40794822E-03  4.65881E-07
      83      1.36471790E-03  3.90103E-07      1.36480053E-03  3.90239E-07
      84      1.32325604E-03  3.26731E-07      1.32333546E-03  3.26844E-07
      85      1.28339989E-03  2.73601E-07      1.28347624E-03  2.73696E-07
      86      1.24507644E-03  2.29074E-07      1.24514987E-03  2.29154E-07
      87      1.20820887E-03  1.91787E-07      1.20827952E-03  1.91854E-07
      88      1.17274031E-03  1.60555E-07      1.17280830E-03  1.60611E-07
      89      1.13859404E-03  1.34374E-07      1.13865948E-03  1.34421E-07
      90      1.10572618E-03  1.12440E-07      1.10578920E-03  1.12479E-07
      91      1.07406214E-03  9.40899E-08      1.07412285E-03  9.41229E-08
      92      1.04356655E-03  7.87345E-08      1.04362504E-03  7.87620E-08
      93      1.01417047E-03  6.58617E-08      1.01422684E-03  6.58848E-08
      94      9.85841601E-04  5.50712E-08      9.85895949E-04  5.50906E-08
      95      9.58520693E-04  4.60507E-08      9.58573103E-04  4.60669E-08
      96      9.32173615E-04  3.85189E-08      9.32224171E-04  3.85324E-08
      97      9.06753802E-04  3.22114E-08      9.06802583E-04  3.22228E-08
      98      8.82222105E-04  2.69133E-08      8.82269185E-04  2.69228E-08
      99      8.58545710E-04  2.24740E-08      8.58591161E-04  2.24820E-08
     100      8.35679658E-04  1.87761E-08      8.35723549E-04  1.87827E-08
     101      8.13603355E-04  1.56985E-08      8.13645749E-04  1.57040E-08
     102      7.92268229E-04  1.31187E-08      7.92309188E-04  1.31233E-08
     103      7.71661536E-04  1.09411E-08      7.71701120E-04  1.09450E-08
     104      7.51735735E-04  9.10972E-09      7.51773998E-04  9.11300E-09
     105      7.32480037E-04  7.58882E-09      7.32517033E-04  7.59153E-09
     106      7.13853339E-04  6.33609E-09      7.13889119E-04  6.33833E-09
